Sample in Buffer,Sample in Window,TRIGGER,data_out_probe_in[7:0],cnt_out_addr_in[7:0]
282,282,0,2f,9b
283,283,0,2d,9c
284,284,0,2a,9d
285,285,0,28,9e
286,286,0,26,9f
287,287,0,24,a0
288,288,0,21,a1
289,289,0,1f,a2
290,290,0,1d,a3
291,291,0,1b,a4
292,292,0,19,a5
293,293,0,17,a6
294,294,0,16,a7
295,295,0,14,a8
296,296,0,12,a9
297,297,0,11,aa
298,298,0,0f,ab
299,299,0,0e,ac
300,300,0,0c,ad
301,301,0,0b,ae
302,302,0,0a,af
303,303,0,08,b0
304,304,0,07,b1
305,305,0,06,b2
306,306,0,05,b3
307,307,0,04,b4
308,308,0,04,b5
309,309,0,03,b6
310,310,0,02,b7
311,311,0,02,b8
312,312,0,01,b9
313,313,0,01,ba
314,314,0,00,bb
315,315,0,00,bc
316,316,0,00,bd
317,317,0,00,be
318,318,0,00,bf
319,319,0,00,c0
320,320,0,00,c1
321,321,0,00,c2
322,322,0,00,c3
323,323,0,00,c4
324,324,0,01,c5
325,325,0,01,c6
326,326,0,02,c7
327,327,0,02,c8
328,328,0,03,c9
329,329,0,04,ca
330,330,0,05,cb
331,331,0,06,cc
332,332,0,07,cd
333,333,0,08,ce
334,334,0,09,cf
335,335,0,0a,d0
336,336,0,0c,d1
337,337,0,0d,d2
338,338,0,0e,d3
339,339,0,10,d4
340,340,0,11,d5
341,341,0,13,d6
342,342,0,15,d7
343,343,0,17,d8
344,344,0,18,d9
345,345,0,1a,da
346,346,0,1c,db
347,347,0,1e,dc
348,348,0,20,dd
349,349,0,23,de
350,350,0,25,df
351,351,0,27,e0
352,352,0,29,e1
353,353,0,2c,e2
354,354,0,2e,e3
355,355,0,30,e4
356,356,0,33,e5
357,357,0,36,e6
358,358,0,38,e7
359,359,0,3b,e8
360,360,0,3d,e9
361,361,0,40,ea
362,362,0,43,eb
363,363,0,46,ec
364,364,0,49,ed
365,365,0,4b,ee
366,366,0,4e,ef
367,367,0,51,f0
368,368,0,54,f1
369,369,0,57,f2
370,370,0,5a,f3
371,371,0,5d,f4
372,372,0,60,f5
373,373,0,63,f6
374,374,0,66,f7
375,375,0,6a,f8
376,376,0,6d,f9
377,377,0,70,fa
378,378,0,73,fb
379,379,0,76,fc
380,380,0,79,fd
381,381,0,7c,fe
382,382,0,7f,ff
383,383,0,7f,00
384,384,0,83,01
385,385,0,86,02
386,386,0,89,03
387,387,0,8c,04
388,388,0,8f,05
389,389,0,92,06
390,390,0,95,07
391,391,0,99,08
392,392,0,9c,09
393,393,0,9f,0a
394,394,0,a2,0b
395,395,0,a5,0c
396,396,0,a8,0d
397,397,0,ab,0e
398,398,0,ae,0f
399,399,0,b1,10
400,400,0,b4,11
401,401,0,b6,12
402,402,0,b9,13
403,403,0,bc,14
404,404,0,bf,15
405,405,0,c2,16
406,406,0,c4,17
