Sample in Buffer,Sample in Window,TRIGGER,data_out_probe_in[7:0],cnt_out_addr_in[7:0]
281,281,0,8b,7c
282,282,0,7b,81
283,283,0,6b,86
284,284,0,5c,8b
285,285,0,4d,90
286,286,0,3f,95
287,287,0,32,9a
288,288,0,26,9f
289,289,0,1b,a4
290,290,0,12,a9
291,291,0,0b,ae
292,292,0,05,b3
293,293,0,02,b8
294,294,0,00,bd
295,295,0,00,c2
296,296,0,02,c7
297,297,0,06,cc
298,298,0,0c,d1
299,299,0,13,d6
300,300,0,1c,db
301,301,0,27,e0
302,302,0,33,e5
303,303,0,40,ea
304,304,0,4e,ef
305,305,0,5d,f4
306,306,0,6d,f9
307,307,0,7c,fe
308,308,0,89,03
309,309,0,99,08
310,310,0,a8,0d
311,311,0,b6,12
312,312,0,c4,17
313,313,0,d1,1c
314,314,0,dc,21
315,315,0,e7,26
316,316,0,ef,2b
317,317,0,f6,30
318,318,0,fb,35
319,319,0,fe,3a
320,320,0,ff,3f
321,321,0,ff,44
322,322,0,fc,49
323,323,0,f8,4e
324,324,0,f1,53
325,325,0,e9,58
326,326,0,e0,5d
327,327,0,d5,62
328,328,0,c8,67
329,329,0,bb,6c
330,330,0,ac,71
331,331,0,9d,76
332,332,0,8e,7b
333,333,0,7e,80
334,334,0,6e,85
335,335,0,5f,8a
336,336,0,50,8f
337,337,0,42,94
338,338,0,34,99
339,339,0,28,9e
340,340,0,1d,a3
341,341,0,14,a8
342,342,0,0c,ad
343,343,0,06,b2
344,344,0,02,b7
345,345,0,00,bc
346,346,0,00,c1
347,347,0,01,c6
348,348,0,05,cb
349,349,0,0a,d0
350,350,0,11,d5
351,351,0,1a,da
352,352,0,25,df
353,353,0,30,e4
354,354,0,3d,e9
355,355,0,4b,ee
356,356,0,5a,f3
357,357,0,6a,f8
358,358,0,79,fd
359,359,0,86,02
360,360,0,95,07
361,361,0,a5,0c
362,362,0,b4,11
363,363,0,c2,16
364,364,0,cf,1b
365,365,0,da,20
366,366,0,e5,25
367,367,0,ee,2a
368,368,0,f5,2f
369,369,0,fa,34
370,370,0,fe,39
371,371,0,ff,3e
372,372,0,ff,43
373,373,0,fd,48
374,374,0,f9,4d
375,375,0,f3,52
376,376,0,eb,57
377,377,0,e2,5c
378,378,0,d7,61
379,379,0,cb,66
380,380,0,bd,6b
381,381,0,af,70
382,382,0,a0,75
383,383,0,91,7a
384,384,0,81,7f
385,385,0,71,84
386,386,0,62,89
387,387,0,53,8e
388,388,0,44,93
389,389,0,37,98
390,390,0,2a,9d
391,391,0,1f,a2
392,392,0,16,a7
393,393,0,0e,ac
394,394,0,07,b1
395,395,0,03,b6
396,396,0,00,bb
397,397,0,00,c0
398,398,0,01,c5
399,399,0,04,ca
400,400,0,09,cf
401,401,0,10,d4
402,402,0,18,d9
403,403,0,23,de
404,404,0,2e,e3
405,405,0,3b,e8
406,406,0,49,ed
407,407,0,57,f2
408,408,0,66,f7
409,409,0,76,fc
410,410,0,83,01
411,411,0,92,06
412,412,0,a2,0b
413,413,0,b1,10
414,414,0,bf,15
415,415,0,cc,1a
416,416,0,d8,1f
417,417,0,e3,24
418,418,0,ec,29
419,419,0,f3,2e
420,420,0,f9,33
421,421,0,fd,38
422,422,0,ff,3d
423,423,0,ff,42
424,424,0,fd,47
425,425,0,fa,4c
426,426,0,f4,51
427,427,0,ed,56
428,428,0,e4,5b
429,429,0,d9,60
430,430,0,cd,65
431,431,0,c0,6a
432,432,0,b2,6f
433,433,0,a3,74
434,434,0,94,79
435,435,0,84,7e
436,436,0,74,83
437,437,0,65,88
