Sample in Buffer,Sample in Window,TRIGGER,b[7:0],a,c[7:0]
667,667,0,08,0,99
668,668,0,09,0,9c
669,669,0,0a,0,9f
670,670,0,0b,0,a2
671,671,0,0c,0,a5
672,672,0,0d,0,a8
673,673,0,0e,0,ab
674,674,0,0f,0,ae
675,675,0,10,0,b1
676,676,0,11,0,b4
677,677,0,12,0,b6
678,678,0,13,0,b9
679,679,0,14,0,bc
680,680,0,15,0,bf
681,681,0,16,0,c2
682,682,0,17,0,c4
683,683,0,18,0,c7
684,684,0,19,0,c9
685,685,0,1a,0,cc
686,686,0,1b,0,cf
687,687,0,1c,0,d1
688,688,0,1d,0,d3
689,689,0,1e,0,d6
690,690,0,1f,0,d8
691,691,0,20,0,da
692,692,0,21,0,dc
693,693,0,22,0,df
694,694,0,23,0,e1
695,695,0,24,0,e3
696,696,0,25,0,e5
697,697,0,26,0,e7
698,698,0,27,0,e8
699,699,0,28,0,ea
700,700,0,29,0,ec
701,701,0,2a,0,ee
702,702,0,2b,0,ef
703,703,0,2c,0,f1
704,704,0,2d,0,f2
705,705,0,2e,0,f3
706,706,0,2f,0,f5
707,707,0,30,0,f6
708,708,0,31,0,f7
709,709,0,32,0,f8
710,710,0,33,0,f9
711,711,0,34,0,fa
712,712,0,35,0,fb
713,713,0,36,0,fc
714,714,0,37,0,fd
715,715,0,38,0,fd
716,716,0,39,0,fe
717,717,0,3a,0,fe
718,718,0,3b,0,ff
719,719,0,3c,0,ff
720,720,0,3d,0,ff
721,721,0,3e,0,ff
722,722,0,3f,0,ff
723,723,0,40,0,ff
724,724,0,41,0,ff
725,725,0,42,0,ff
726,726,0,43,0,ff
727,727,0,44,0,ff
728,728,0,45,0,fe
729,729,0,46,0,fe
730,730,0,47,0,fd
731,731,0,48,0,fd
732,732,0,49,0,fc
733,733,0,4a,0,fb
734,734,0,4b,0,fb
735,735,0,4c,0,fa
736,736,0,4d,0,f9
737,737,0,4e,0,f8
738,738,0,4f,0,f7
739,739,0,50,0,f5
740,740,0,51,0,f4
741,741,0,52,0,f3
742,742,0,53,0,f1
743,743,0,54,0,f0
744,744,0,55,0,ee
745,745,0,56,0,ed
746,746,0,57,0,eb
747,747,0,58,0,e9
748,748,0,59,0,e8
749,749,0,5a,0,e6
750,750,0,5b,0,e4
751,751,0,5c,0,e2
752,752,0,5d,0,e0
753,753,0,5e,0,de
754,754,0,5f,0,db
755,755,0,60,0,d9
756,756,0,61,0,d7
757,757,0,62,0,d5
758,758,0,63,0,d2
759,759,0,64,0,d0
760,760,0,65,0,cd
