Sample in Buffer,Sample in Window,TRIGGER,b[7:0],a,c[7:0]
393,393,0,f6,0,63
394,394,0,f7,0,66
395,395,0,f8,0,6a
396,396,0,f9,0,6d
397,397,0,fa,0,70
398,398,0,fb,0,73
399,399,0,fc,0,76
400,400,0,fd,0,79
401,401,0,fe,0,7c
402,402,0,ff,0,7f
403,403,0,00,0,7f
404,404,0,01,1,83
405,405,0,02,0,86
406,406,0,03,0,89
407,407,0,04,0,8c
408,408,0,05,0,8f
409,409,0,06,0,92
410,410,0,07,0,95
411,411,0,08,0,99
412,412,0,09,0,9c
413,413,0,0a,0,9f
414,414,0,0b,0,a2
415,415,0,0c,0,a5
416,416,0,0d,0,a8
417,417,0,0e,0,ab
418,418,0,0f,0,ae
419,419,0,10,0,b1
420,420,0,11,0,b4
421,421,0,12,0,b6
422,422,0,13,0,b9
423,423,0,14,0,bc
424,424,0,15,0,bf
425,425,0,16,0,c2
426,426,0,17,0,c4
