Sample in Buffer,Sample in Window,TRIGGER,data_out_probe_in[7:0],probe1[7:0]
0,0,1,00,00
1,1,0,00,00
2,2,0,00,00
3,3,0,00,00
4,4,0,00,00
5,5,0,00,00
6,6,0,00,00
7,7,0,01,00
8,8,0,01,00
9,9,0,02,00
10,10,0,03,00
11,11,0,05,00
12,12,0,06,00
13,13,0,08,00
14,14,0,09,00
15,15,0,0b,00
16,16,0,0d,00
17,17,0,10,00
18,18,0,12,00
19,19,0,15,00
20,20,0,17,00
21,21,0,1a,00
22,22,0,1d,00
23,23,0,20,00
24,24,0,23,00
25,25,0,27,00
26,26,0,2a,00
27,27,0,2e,00
28,28,0,31,00
29,29,0,35,00
30,30,0,39,00
31,31,0,3d,00
32,32,0,41,00
33,33,0,45,00
34,34,0,49,00
35,35,0,4e,00
36,36,0,52,00
37,37,0,57,00
38,38,0,5b,00
39,39,0,60,00
40,40,0,64,00
41,41,0,69,00
42,42,0,6d,00
43,43,0,72,00
44,44,0,77,00
45,45,0,7c,00
46,46,0,7f,00
47,47,0,84,00
48,48,0,89,00
49,49,0,8e,00
50,50,0,92,00
51,51,0,97,00
52,52,0,9c,00
53,53,0,a0,00
54,54,0,a5,00
55,55,0,a9,00
56,56,0,ae,00
57,57,0,b2,00
58,58,0,b6,00
59,59,0,bb,00
60,60,0,bf,00
61,61,0,c3,00
62,62,0,c7,00
63,63,0,cb,00
64,64,0,ce,00
65,65,0,d2,00
66,66,0,d6,00
67,67,0,d9,00
68,68,0,dc,00
69,69,0,df,00
70,70,0,e3,00
71,71,0,e5,00
72,72,0,e8,00
73,73,0,eb,00
74,74,0,ed,00
75,75,0,f0,00
76,76,0,f2,00
77,77,0,f4,00
78,78,0,f6,00
79,79,0,f8,00
80,80,0,f9,00
81,81,0,fa,00
82,82,0,fc,00
83,83,0,fd,00
84,84,0,fe,00
85,85,0,fe,00
86,86,0,ff,00
87,87,0,ff,00
88,88,0,ff,00
89,89,0,ff,00
90,90,0,ff,00
91,91,0,ff,00
92,92,0,ff,00
93,93,0,fe,00
94,94,0,fd,00
95,95,0,fc,00
96,96,0,fb,00
97,97,0,f9,00
